
L = 0.09
0.3742 0.0243 0.0000
0.3787 0.0311 0.0000
0.4259 0.0259 0.0000
0.4299 0.0155 0.0000
0.5125 0.0265 0.0000
0.5205 0.0215 0.0000
0.5463 0.0113 0.0000
0.6241 0.0135 0.0000
0.7257 0.0165 0.0000
0.8583 0.0160 0.0000
0.8839 0.0179 0.0000
0.9332 0.0122 0.0000
0.9585 0.0164 0.0000
0.9642 0.0213 0.0000
0.9798 0.0193 0.0000
0.9968 0.0232 0.0000
1.0121 0.0116 0.0000
1.0173 0.0064 0.0000
1.0193 0.0073 0.0000
1.0234 0.0000 0.0080
1.0350 0.0000 0.0073
1.0586 0.0103 0.0000
1.0713 0.0309 0.0000
1.0802 0.0282 0.0000
1.1355 0.0180 0.0000
1.1427 0.0228 0.0000
1.1508 0.0259 0.0000
1.1940 0.0194 0.0000
1.3575 0.0275 0.0000
1.4599 0.0204 0.0000
1.4802 0.0153 0.0000
1.4820 0.0000 0.0148
1.5231 0.0052 0.0000
1.5341 0.0345 0.0000
1.5982 0.0237 0.0000
1.6082 0.0133 0.0000
1.6982 0.0000 0.0091
1.7351 0.0075 0.0000
1.8431 0.0198 0.0000
1.8534 0.0187 0.0000
1.9380 0.0140 0.0000
1.9648 0.0276 0.0000
2.0188 0.0077 0.0000
2.0881 0.0234 0.0000
2.0881 0.0219 0.0000
2.1252 0.0202 0.0000
2.1813 0.0091 0.0000
2.1974 0.0093 0.0000
2.2101 0.0219 0.0000
2.2970 0.0244 0.0000
2.3406 0.0000 0.0221
2.3414 0.0070 0.0000
2.3513 0.0229 0.0000
2.3635 0.0188 0.0000
2.3952 0.0208 0.0000
2.4082 0.0160 0.0000
2.4513 0.0295 0.0000
2.4660 0.0111 0.0000
2.4930 0.0163 0.0000
2.5247 0.0215 0.0000
2.5654 0.0236 0.0000
2.5750 0.0174 0.0000
2.5886 0.0203 0.0000
2.5955 0.0284 0.0000
2.6412 0.0096 0.0000
2.6506 0.0093 0.0000
2.6742 0.0318 0.0000
2.6825 0.0154 0.0000
2.6894 0.0249 0.0000
2.6988 0.0125 0.0000
2.7111 0.0202 0.0000
2.7795 0.0173 0.0000
2.8030 0.0333 0.0000
2.8086 0.0224 0.0000
2.8500 0.0123 0.0000
2.8938 0.0232 0.0000
2.8975 0.0051 0.0000
2.9255 0.0272 0.0000
2.9371 0.0098 0.0000
3.0174 0.0306 0.0000
3.0306 0.0236 0.0000
3.0341 0.0176 0.0000
3.0560 0.0248 0.0000
3.0880 0.0042 0.0000
3.1208 0.0110 0.0000
3.2000 0.0159 0.0000
3.2205 0.0177 0.0000
3.2360 0.0166 0.0000
3.2742 0.0000 0.0179
3.3087 0.0043 0.0000
3.3395 0.0041 0.0000
3.3690 0.0167 0.0000
3.4394 0.0265 0.0000
3.4951 0.0207 0.0000
3.4990 0.0106 0.0000
3.5346 0.0319 0.0000
3.6031 0.0064 0.0000
3.6738 0.0044 0.0000
3.6742 0.0386 0.0000
3.7728 0.0261 0.0000
3.8143 0.0297 0.0000
3.9024 0.0074 0.0000
3.9186 0.0174 0.0000
3.9231 0.0131 0.0000
4.0087 0.0113 0.0000
4.0278 0.0095 0.0000
4.0701 0.0338 0.0000
4.0782 0.0210 0.0000
4.0802 0.0111 0.0000
4.1061 0.0193 0.0000
4.1697 0.0196 0.0000
4.2029 0.0227 0.0000
4.2431 0.0121 0.0000
4.2434 0.0224 0.0000
4.2827 0.0067 0.0000
4.3439 0.0133 0.0000
4.3845 0.0191 0.0000
4.3972 0.0044 0.0000
4.4777 0.0371 0.0000
4.4788 0.0164 0.0000
4.5287 0.0069 0.0000
4.5350 0.0000 0.0112
4.5725 0.0233 0.0000
4.5886 0.0065 0.0000
4.6062 0.0054 0.0000
4.6089 0.0045 0.0000
4.6619 0.0000 0.0052
4.6865 0.0000 0.0075
4.6917 0.0058 0.0000
4.6936 0.0119 0.0000
4.6986 0.0121 0.0000
4.7823 0.0065 0.0000
4.8130 0.0373 0.0000
4.8731 0.0169 0.0000
4.9003 0.0236 0.0000
4.9291 0.0160 0.0000
4.9589 0.0198 0.0000
4.9621 0.0101 0.0000
5.0500 0.0119 0.0000
5.0501 0.0019 0.0000
5.0537 0.0119 0.0000
5.0889 0.0255 0.0000
5.1202 0.0350 0.0000
5.1411 0.0213 0.0000
5.1502 0.0162 0.0000
5.2495 0.0151 0.0000
5.2519 0.0142 0.0000
5.2539 0.0000 0.0169
5.2592 0.0076 0.0000
5.2718 0.0261 0.0000
5.3079 0.0130 0.0000
5.3425 0.0195 0.0000
5.3470 0.0221 0.0000
5.3542 0.0163 0.0000
5.3903 0.0141 0.0000
5.4245 0.0225 0.0000
5.4361 0.0085 0.0000
5.4874 0.0309 0.0000
5.5780 0.0184 0.0000
5.5873 0.0127 0.0000
5.5956 0.0000 0.0124
5.6224 0.0137 0.0000
5.7335 0.0027 0.0000
5.8062 0.0087 0.0000
5.8144 0.0055 0.0000
5.9637 0.0094 0.0000
6.0004 0.0121 0.0000
6.0120 0.0174 0.0000
6.0597 0.0120 0.0000
6.0674 0.0057 0.0000
6.1135 0.0000 0.0041
6.3341 0.0211 0.0000
6.3948 0.0136 0.0000
6.4618 0.0147 0.0000
6.4780 0.0184 0.0000
6.5411 0.0078 0.0000
6.6503 0.0111 0.0000
6.7601 0.0045 0.0000
6.7859 0.0000 0.0352
6.8394 0.0027 0.0000
6.8405 0.0200 0.0000
6.8765 0.0085 0.0000
6.9458 0.0193 0.0000
7.0250 0.0044 0.0000
7.0346 0.0215 0.0000
7.0544 0.0134 0.0000
7.1065 0.0305 0.0000
7.1870 0.0236 0.0000
7.2222 0.0000 0.0345
7.3446 0.0185 0.0000
7.3473 0.0088 0.0000
7.3507 0.0063 0.0000
7.3837 0.0000 0.0176
7.4084 0.0067 0.0000
7.5365 0.0102 0.0000
7.7477 0.0156 0.0000
7.7870 0.0199 0.0000
7.7990 0.0000 0.0097
7.8983 0.0030 0.0000
7.8985 0.0000 0.0258
8.0297 0.0097 0.0000
8.0519 0.0000 0.0288
8.1355 0.0000 0.0244
8.1372 0.0000 0.0120
8.1503 0.0123 0.0000
8.1614 0.0247 0.0000
8.2017 0.0000 0.0111
8.2148 0.0074 0.0000
8.2364 0.0000 0.0324
8.2667 0.0000 0.0282
8.4269 0.0000 0.0258
8.4696 0.0239 0.0000
8.5225 0.0000 0.0272
8.5724 0.0010 0.0000
8.6146 0.0142 0.0000
8.6890 0.0205 0.0000
8.7095 0.0000 0.0213
8.7311 0.0000 0.0301
8.7377 0.0147 0.0000
8.7434 0.0090 0.0000
8.7881 0.0000 0.0082
8.7890 0.0114 0.0000
8.8204 0.0000 0.0365
8.8508 0.0174 0.0000
8.9008 0.0040 0.0000
8.9820 0.0000 0.0196
9.0193 0.0000 0.0104
9.0453 0.0000 0.0048
9.0456 0.0000 0.0178
9.1169 0.0000 0.0260
9.1193 0.0000 0.0039
9.2637 0.0229 0.0000
9.2685 0.0096 0.0000
9.3177 0.0170 0.0000
9.3214 0.0212 0.0000
9.3799 0.0320 0.0000
9.3910 0.0127 0.0000
9.4019 0.0172 0.0000
9.5760 0.0016 0.0000
9.5855 0.0000 0.0083
9.5933 0.0168 0.0000
9.5942 0.0000 0.0018
9.6504 0.0000 0.0389
9.6640 0.0045 0.0000
9.6759 0.0039 0.0000
9.6793 0.0102 0.0000
9.6988 0.0112 0.0000
9.7158 0.0000 0.0089
9.7430 0.0000 0.0157
9.7661 0.0147 0.0000
9.7724 0.0133 0.0000
9.8069 0.0000 0.0325
9.8407 0.0000 0.0230
9.8447 0.0137 0.0000
9.8593 0.0000 0.0262
9.8889 0.0152 0.0000
9.9297 0.0000 0.0072
9.9493 0.0319 0.0000
9.9567 0.0000 0.0443
10.0331 0.0111 0.0000
10.0751 0.0156 0.0000
10.0896 0.0000 0.0031
10.1581 0.0058 0.0000
10.2582 0.0000 0.0157
10.2626 0.0000 0.0070
10.3116 0.0000 0.0268
10.3471 0.0154 0.0000
10.3636 0.0164 0.0000
10.4453 0.0048 0.0000
10.6022 0.0097 0.0000
10.6354 0.0122 0.0000
10.6552 0.0000 0.0255
10.6673 0.0000 0.0438
10.8340 0.0258 0.0000
10.9620 0.0000 0.0140
11.0186 0.0000 0.0031
11.1476 0.0000 0.0198
11.1653 0.0179 0.0000
11.1791 0.0166 0.0000
11.2470 0.0147 0.0000
11.2646 0.0000 0.0194
11.3167 0.0183 0.0000
11.3194 0.0000 0.0472
11.3713 0.0000 0.0440
11.4568 0.0000 0.0111
11.4853 0.0000 0.0077
11.5176 0.0000 0.0236
11.5810 0.0084 0.0000
11.5870 0.0000 0.0160
