
L = 0.05
0.3252 0.2222 0.0000
0.3869 0.1762 0.0000
0.4954 0.2772 0.0000
0.5197 1.1951 0.0000
0.5364 0.1720 0.0000
0.6599 0.1651 0.0000
0.6602 0.1032 0.0000
0.6654 0.2221 0.0000
0.6921 0.1235 0.0000
0.7169 0.1634 0.0000
0.7389 0.1563 0.0000
0.7786 0.0909 0.0000
0.8189 0.2547 0.0000
0.8213 0.1748 0.0000
0.8746 0.0856 0.0000
0.9532 0.0149 0.0103
0.9850 0.1565 0.0000
1.0103 0.2211 0.0000
1.0321 0.2407 0.0000
1.1497 0.0961 0.0000
1.2451 0.3795 0.0000
1.3059 0.2083 0.0000
1.3234 0.2347 0.0000
1.3713 0.1036 0.0000
1.4221 0.2465 0.0000
1.4792 0.2073 0.0000
1.4955 0.2540 0.0000
1.5081 0.0788 0.0000
1.5149 0.1104 0.0000
1.5468 0.1701 0.0000
1.5535 0.3588 0.0000
1.5540 0.3826 0.0000
1.5828 0.2632 0.0000
1.5915 0.1541 0.0000
1.5944 0.1930 0.0000
1.7094 0.0653 0.0000
1.7178 0.1273 0.0000
1.7474 0.1988 0.0000
1.7475 0.1339 0.0000
1.7951 0.1902 0.0000
1.8425 0.3999 0.0000
2.0120 0.9532 0.0000
2.0345 0.0720 0.0000
2.0606 0.1169 0.0000
2.0641 0.0719 0.0000
2.1272 0.1536 0.0000
2.1296 0.3015 0.0000
2.1312 0.1609 0.0000
2.1437 0.0902 0.0000
2.1532 0.3010 0.0000
2.1769 0.0857 0.0000
2.1785 0.1878 0.0000
2.1923 0.5865 0.0000
2.2326 0.1753 0.0000
2.2327 0.2497 0.0000
2.3689 0.3779 0.0000
2.4044 0.1064 0.0000
2.4210 0.1963 0.0000
2.4446 0.1309 0.0000
2.4447 0.3884 0.0000
2.5086 0.2148 0.0000
2.5469 0.2368 0.0000
2.5682 0.3139 0.0000
2.5820 1.0456 0.0000
2.6002 0.0732 0.0000
2.6046 0.2364 0.0000
2.6358 0.2368 0.0000
2.6604 0.0868 0.0000
2.7269 0.0285 0.0000
2.7553 0.4520 0.0000
2.8336 1.1305 0.0000
2.8399 0.1787 0.0000
2.8485 0.1485 0.0000
2.8811 0.1346 0.0000
3.0113 0.0693 0.0000
3.0229 0.1311 0.0000
3.0409 0.1882 0.0000
3.1814 0.3466 0.0000
3.1999 0.0000 0.2738
3.2390 0.3313 0.0000
3.2473 0.5011 0.0000
3.2497 0.0000 0.2325
3.2723 0.1087 0.0000
3.2765 0.1611 0.0000
3.2897 0.1218 0.0000
3.3214 0.2214 0.0000
3.3244 0.3923 0.0000
3.3815 0.0000 0.2805
3.4127 0.1250 0.0000
3.4309 0.0900 0.0000
3.4734 0.2841 0.0000
3.4995 0.0641 0.0000
3.5835 0.1509 0.0000
3.5847 0.7980 0.0000
3.6415 0.0807 0.0000
3.6740 0.2103 0.0000
3.7376 0.0000 0.1833
3.7551 0.0000 0.0381
3.7639 0.2364 0.0000
3.8279 2.8116 0.0000
3.8985 0.0019 0.0104
3.9076 0.0970 0.0000
3.9112 0.1321 0.0000
4.0331 0.1696 0.0000
4.0585 0.2337 0.0000
4.0661 0.2205 0.0000
4.0880 0.2127 0.0000
4.1171 0.0239 0.0000
4.1310 0.1814 0.0000
4.1461 0.3267 0.0000
4.1554 0.8211 0.0000
4.2664 0.2728 0.0000
4.2722 0.9046 0.0000
4.2891 0.3639 0.0000
4.3023 0.1997 0.0000
4.3057 0.3978 0.0000
4.3371 0.2321 0.0000
4.3443 0.3181 0.0000
4.3552 0.2346 0.0000
4.3597 0.2701 0.0000
4.4186 0.1960 0.0000
4.4591 0.0424 0.0000
4.4762 0.3428 0.0000
4.4868 0.1986 0.0000
4.4883 0.2114 0.0000
4.5263 0.0797 0.0000
4.5319 0.0964 0.0000
